关卡,关卡标签,关卡序号,是否前四关基准段,4月到达人数,4月流失人数,4月最终停留人数,4月最长停留人数,4月平均连续停留天数,4月归一化流失率,1月基线到达人数,1月基线流失人数,1月基线最终停留人数,1月基线最长停留人数,1月基线平均连续停留天数,1月基线归一化流失率,1.13到达人数,1.13流失人数,1.13最终停留人数,1.13最长停留人数,1.13平均连续停留天数,1.13归一化流失率,1.09到达人数,1.09流失人数,1.09最终停留人数,1.09最长停留人数,1.09平均连续停留天数,1.09归一化流失率,4月变化,优先级分,问题类型
112,1-12,12.0,False,140,20,22,31,1.7741935483870968,0.14285714285714285,177,10,12,12,1.5,0.05649717514124294,88,6,8,8,1.5,0.06818181818181818,89,4,4,4,1.5,0.0449438202247191,0.0863599677158999,43.15577078288943,4月新增/加重问题
103,1-03,3.0,True,223,16,16,17,1.0,0.07174887892376682,263,11,11,11,1.0,0.04182509505703422,131,6,6,5,1.0,0.04580152671755725,132,5,5,6,1.0,0.03787878787878788,0.029923783866732598,0.0,前四关基准段
114,1-14,14.0,False,108,15,18,7,1.7142857142857142,0.1388888888888889,150,5,6,8,2.375,0.03333333333333333,74,2,3,4,2.0,0.02702702702702703,76,3,3,4,2.75,0.039473684210526314,0.10555555555555557,34.611111111111114,4月新增/加重问题
104,1-04,4.0,True,207,12,13,15,1.3333333333333333,0.057971014492753624,252,7,8,9,1.0,0.027777777777777776,125,2,2,4,1.0,0.016,127,5,6,5,1.0,0.03937007874015748,0.030193236714975848,0.0,前四关基准段
204,2-04,19.0,False,79,10,16,10,4.3,0.12658227848101267,122,13,19,22,2.8636363636363638,0.10655737704918032,60,8,10,11,3.0,0.13333333333333333,62,5,9,11,2.727272727272727,0.08064516129032258,0.020024901431832345,23.596700560282216,长期卡点
109,1-09,9.0,False,167,10,10,15,1.1333333333333333,0.059880239520958084,205,7,7,8,1.25,0.03414634146341464,103,4,4,3,1.0,0.038834951456310676,102,3,3,5,1.4,0.029411764705882353,0.025733898057543447,20.709288739593983,长期卡点
110,1-10,10.0,False,157,9,10,11,1.5454545454545454,0.05732484076433121,198,16,17,12,1.5833333333333333,0.08080808080808081,99,8,8,6,1.3333333333333333,0.08080808080808081,99,8,9,6,1.8333333333333333,0.08080808080808081,-0.023483240043749604,18.329617834394906,长期卡点
106,1-06,6.0,False,190,9,9,13,1.0,0.04736842105263158,242,20,20,30,1.2666666666666666,0.08264462809917356,122,11,11,16,1.375,0.09016393442622951,120,9,9,14,1.1428571428571428,0.075,-0.035276207046541976,17.88157894736842,长期卡点
113,1-13,13.0,False,118,8,10,9,2.4444444444444446,0.06779661016949153,165,14,15,17,1.9411764705882353,0.08484848484848485,80,6,6,5,1.8,0.075,85,8,9,12,2.0,0.09411764705882353,-0.01705187467899333,17.050847457627118,长期卡点
111,1-11,11.0,False,147,7,7,4,1.5,0.047619047619047616,181,3,4,6,1.6666666666666667,0.016574585635359115,91,2,3,5,1.8,0.02197802197802198,90,1,1,1,1.0,0.011111111111111112,0.0310444619836885,15.013746382530913,4月新增/加重问题
