口径,关卡,关卡标签,关卡序号,是否前四关基准段,到达该关人数,流失人数,最终停留人数,最长停留人数,平均连续停留天数,归一化流失率
1.13-1.15,101,1-01,1.0,True,136,1,1,1,1.0,0.007352941176470588
1.13-1.15,102,1-02,2.0,True,135,3,4,6,1.3333333333333333,0.022222222222222223
1.13-1.15,103,1-03,3.0,True,131,6,6,5,1.0,0.04580152671755725
1.13-1.15,104,1-04,4.0,True,125,2,2,4,1.0,0.016
1.13-1.15,105,1-05,5.0,False,123,1,1,4,1.0,0.008130081300813009
1.13-1.15,106,1-06,6.0,False,122,11,11,16,1.375,0.09016393442622951
1.13-1.15,107,1-07,7.0,False,111,5,5,6,1.0,0.04504504504504504
1.13-1.15,108,1-08,8.0,False,106,3,3,5,1.2,0.02830188679245283
1.13-1.15,109,1-09,9.0,False,103,4,4,3,1.0,0.038834951456310676
1.13-1.15,110,1-10,10.0,False,99,8,8,6,1.3333333333333333,0.08080808080808081
1.13-1.15,111,1-11,11.0,False,91,2,3,5,1.8,0.02197802197802198
1.13-1.15,112,1-12,12.0,False,88,6,8,8,1.5,0.06818181818181818
1.13-1.15,113,1-13,13.0,False,80,6,6,5,1.8,0.075
1.13-1.15,114,1-14,14.0,False,74,2,3,4,2.0,0.02702702702702703
1.13-1.15,115,1-15,15.0,False,71,4,7,5,4.6,0.056338028169014086
1.13-1.15,201,2-01,16.0,False,64,0,2,0,0.0,0.0
1.13-1.15,202,2-02,17.0,False,62,1,1,0,0.0,0.016129032258064516
1.13-1.15,203,2-03,18.0,False,61,1,1,1,2.0,0.01639344262295082
1.13-1.15,204,2-04,19.0,False,60,8,10,11,3.0,0.13333333333333333
1.13-1.15,205,2-05,20.0,False,50,2,3,2,2.0,0.04
1.13-1.15,206,2-06,21.0,False,47,0,2,0,0.0,0.0
1.13-1.15,207,2-07,22.0,False,45,0,0,4,2.75,0.0
1.13-1.15,208,2-08,23.0,False,45,1,2,0,0.0,0.022222222222222223
1.13-1.15,209,2-09,24.0,False,43,1,3,5,2.6,0.023255813953488372
1.13-1.15,210,2-10,25.0,False,40,0,1,1,3.0,0.0
1.13-1.15,211,2-11,26.0,False,39,1,1,1,2.0,0.02564102564102564
1.13-1.15,213,2-13,28.0,False,38,0,1,0,0.0,0.0
1.13-1.15,214,2-14,29.0,False,37,2,2,0,0.0,0.05405405405405406
1.13-1.15,215,2-15,30.0,False,35,0,2,2,6.5,0.0
1.13-1.15,301,3-01,31.0,False,33,1,1,0,0.0,0.030303030303030304
1.13-1.15,302,3-02,32.0,False,32,1,1,1,2.0,0.03125
1.13-1.15,304,3-04,34.0,False,31,0,2,3,4.333333333333333,0.0
1.13-1.15,305,3-05,35.0,False,29,0,1,0,0.0,0.0
1.13-1.15,307,3-07,37.0,False,28,0,1,0,0.0,0.0
1.13-1.15,309,3-09,39.0,False,27,1,2,1,5.0,0.037037037037037035
1.13-1.15,314,3-14,44.0,False,25,0,3,3,3.6666666666666665,0.0
1.13-1.15,315,3-15,45.0,False,22,0,1,0,0.0,0.0
1.13-1.15,401,4-01,46.0,False,21,0,1,0,0.0,0.0
1.13-1.15,405,4-05,50.0,False,20,0,0,1,3.0,0.0
1.13-1.15,406,4-06,51.0,False,20,0,1,0,0.0,0.0
1.13-1.15,414,4-14,59.0,False,19,0,0,1,3.0,0.0
1.13-1.15,415,4-15,60.0,False,19,0,0,1,2.0,0.0
1.13-1.15,501,5-01,61.0,False,19,0,0,1,4.0,0.0
1.13-1.15,506,5-06,66.0,False,19,0,1,1,3.0,0.0
1.13-1.15,507,5-07,67.0,False,18,0,1,1,2.0,0.0
1.13-1.15,509,5-09,69.0,False,17,0,1,1,4.0,0.0
1.13-1.15,511,5-11,71.0,False,16,0,1,1,6.0,0.0
1.13-1.15,512,5-12,72.0,False,15,0,0,1,2.0,0.0
1.13-1.15,514,5-14,74.0,False,15,0,2,3,4.0,0.0
1.13-1.15,603,6-03,78.0,False,13,0,1,0,0.0,0.0
1.13-1.15,604,6-04,79.0,False,12,0,1,0,0.0,0.0
1.13-1.15,606,6-06,81.0,False,11,0,1,0,0.0,0.0
1.13-1.15,607,6-07,82.0,False,10,0,1,2,5.0,0.0
1.13-1.15,611,6-11,86.0,False,9,0,1,0,0.0,0.0
1.13-1.15,704,7-04,94.0,False,8,0,2,0,0.0,0.0
1.13-1.15,707,7-07,97.0,False,6,0,1,1,4.0,0.0
1.13-1.15,710,7-10,100.0,False,5,0,0,1,3.0,0.0
1.13-1.15,712,7-12,102.0,False,5,0,1,1,2.0,0.0
1.13-1.15,802,8-02,107.0,False,4,0,1,0,0.0,0.0
1.13-1.15,901,9-01,121.0,False,3,0,1,0,0.0,0.0
1.13-1.15,1005,10-05,140.0,False,2,0,1,1,5.0,0.0
1.13-1.15,1009,10-09,144.0,False,1,0,1,0,0.0,0.0
