批次,付费分层,人数,流失人数,流失率,首日进度均值,最终进度均值,最终进度中位数,记录天数均值,最长停留天数均值
4.4-4.8,1~7,138,104,0.7536231884057971,7.711111111111111,14.226277372262773,12.0,4.601449275362318,1.9057971014492754
4.4-4.8,7~50,60,36,0.6,11.172413793103448,23.116666666666667,19.0,6.9,2.3333333333333335
4.4-4.8,50~100,10,5,0.5,13.0,31.1,25.5,10.4,2.6
4.4-4.8,100~300,18,10,0.5555555555555556,11.444444444444445,34.05555555555556,19.0,6.777777777777778,1.8888888888888888
4.4-4.8,300~+∞,2,0,0.0,17.0,32.5,32.5,7.0,2.5
1.13-1.15,1~7,73,51,0.6986301369863014,7.319444444444445,19.438356164383563,12.0,6.493150684931507,2.1095890410958904
1.13-1.15,7~50,35,22,0.6285714285714286,10.441176470588236,26.142857142857142,19.0,7.828571428571428,2.1714285714285713
1.13-1.15,50~100,9,2,0.2222222222222222,12.444444444444445,38.888888888888886,30.0,13.777777777777779,3.3333333333333335
1.13-1.15,100~300,15,7,0.4666666666666667,12.133333333333333,40.8,20.0,9.733333333333333,2.3333333333333335
1.13-1.15,300~+∞,4,2,0.5,12.5,73.5,70.0,12.5,2.5
1.09-1.11,1~7,100,61,0.61,8.421052631578947,20.85,13.5,6.93,2.29
1.09-1.11,7~50,19,8,0.42105263157894735,10.842105263157896,33.05263157894737,22.0,9.368421052631579,2.3684210526315788
1.09-1.11,50~100,3,2,0.6666666666666666,11.666666666666666,18.333333333333332,13.0,2.6666666666666665,1.3333333333333333
1.09-1.11,100~300,14,5,0.35714285714285715,11.857142857142858,43.57142857142857,35.0,10.928571428571429,2.642857142857143
1.09-1.11,300~+∞,1,1,1.0,17.0,44.0,44.0,6.0,2.0
1月基线,1~7,173,112,0.6473988439306358,7.946107784431137,20.254335260115607,13.0,6.745664739884393,2.213872832369942
1月基线,7~50,54,30,0.5555555555555556,10.584905660377359,28.574074074074073,19.0,8.37037037037037,2.240740740740741
1月基线,50~100,12,4,0.3333333333333333,12.25,33.75,29.0,11.0,2.8333333333333335
1月基线,100~300,29,12,0.41379310344827586,12.0,42.13793103448276,29.0,10.310344827586206,2.4827586206896552
1月基线,300~+∞,5,3,0.6,13.4,67.6,44.0,11.2,2.4
