批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
4.4-4.8,109069105,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
4.4-4.8,109069676,1~7,9.0,19.0,19.0,9,19.0,2.7142857142857144,,109.0,204.0,204.0,3,201.0,1-09,9.0,2-04,19.0,2-04,19.0,2-01,16.0,False,10.0
4.4-4.8,109069928,7~50,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109070036,1~7,12.0,13.0,13.0,3,13.0,4.333333333333333,13.0,112.0,113.0,113.0,2,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109070129,1~7,14.0,44.0,44.0,16,44.0,2.75,,114.0,314.0,314.0,4,313.0,1-14,14.0,3-14,44.0,3-14,44.0,3-13,43.0,False,30.0
4.4-4.8,109070141,7~50,12.0,20.0,20.0,9,18.0,2.5714285714285716,,112.0,205.0,205.0,3,115.0,1-12,12.0,2-05,20.0,2-05,20.0,1-15,15.0,False,8.0
4.4-4.8,109070178,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109070223,7~50,8.0,14.0,14.0,3,14.0,7.0,14.0,108.0,114.0,114.0,1,108.0,1-08,8.0,1-14,14.0,1-14,14.0,1-08,8.0,True,6.0
4.4-4.8,109070276,100~300,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109070282,7~50,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109070403,1~7,12.0,19.0,19.0,3,19.0,6.333333333333333,19.0,112.0,204.0,204.0,2,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,True,7.0
4.4-4.8,109070410,7~50,10.0,47.0,47.0,23,47.0,2.1363636363636362,,110.0,402.0,402.0,7,215.0,1-10,10.0,4-02,47.0,4-02,47.0,2-15,30.0,False,37.0
4.4-4.8,109070413,50~100,10.0,14.0,14.0,6,14.0,4.666666666666667,14.0,110.0,114.0,114.0,2,114.0,1-10,10.0,1-14,14.0,1-14,14.0,1-14,14.0,True,4.0
4.4-4.8,109070608,1~7,11.0,54.0,54.0,24,54.0,2.25,,111.0,409.0,409.0,4,309.0,1-11,11.0,4-09,54.0,4-09,54.0,3-09,39.0,False,43.0
4.4-4.8,109070637,300~+∞,24.0,50.0,50.0,6,50.0,8.333333333333334,,209.0,405.0,405.0,2,405.0,2-09,24.0,4-05,50.0,4-05,50.0,4-05,50.0,False,26.0
4.4-4.8,109070659,7~50,7.0,16.0,16.0,5,16.0,3.2,16.0,107.0,201.0,201.0,2,115.0,1-07,7.0,2-01,16.0,2-01,16.0,1-15,15.0,True,9.0
4.4-4.8,109070736,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109070924,1~7,12.0,32.0,32.0,8,32.0,4.0,,112.0,302.0,302.0,2,215.0,1-12,12.0,3-02,32.0,3-02,32.0,2-15,30.0,False,20.0
4.4-4.8,109070946,1~7,7.0,12.0,12.0,3,12.0,6.0,,107.0,112.0,112.0,1,107.0,1-07,7.0,1-12,12.0,1-12,12.0,1-07,7.0,False,5.0
4.4-4.8,109070986,1~7,12.0,14.0,14.0,3,14.0,4.666666666666667,14.0,112.0,114.0,114.0,2,114.0,1-12,12.0,1-14,14.0,1-14,14.0,1-14,14.0,True,2.0
4.4-4.8,109071032,100~300,7.0,14.0,14.0,3,14.0,7.0,14.0,107.0,114.0,114.0,1,107.0,1-07,7.0,1-14,14.0,1-14,14.0,1-07,7.0,True,7.0
4.4-4.8,109071103,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109071153,1~7,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109071270,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109071401,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109071476,1~7,6.0,7.0,7.0,2,6.0,6.0,7.0,106.0,107.0,107.0,1,106.0,1-06,6.0,1-07,7.0,1-07,7.0,1-06,6.0,True,1.0
4.4-4.8,109071502,100~300,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,True,0.0
4.4-4.8,109071572,1~7,1.0,20.0,20.0,14,18.0,1.6363636363636365,,101.0,205.0,205.0,5,113.0,1-01,1.0,2-05,20.0,2-05,20.0,1-13,13.0,False,19.0
4.4-4.8,109071642,1~7,12.0,19.0,19.0,4,14.0,4.666666666666667,19.0,112.0,204.0,204.0,2,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,True,7.0
4.4-4.8,109071655,1~7,9.0,20.0,20.0,5,10.0,5.0,9.0,109.0,205.0,205.0,1,109.0,1-09,9.0,2-05,20.0,2-05,20.0,1-09,9.0,True,11.0
4.4-4.8,109071661,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109071667,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109071711,1~7,4.0,15.0,15.0,4,15.0,3.75,15.0,104.0,115.0,115.0,2,115.0,1-04,4.0,1-15,15.0,1-15,15.0,1-15,15.0,True,11.0
4.4-4.8,109071783,1~7,5.0,59.0,59.0,24,59.0,2.4583333333333335,,105.0,414.0,414.0,4,414.0,1-05,5.0,4-14,59.0,4-14,59.0,4-14,59.0,False,54.0
4.4-4.8,109071848,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109071868,1~7,7.0,7.0,7.0,2,7.0,7.0,,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,False,0.0
4.4-4.8,109071886,1~7,8.0,42.0,42.0,16,38.0,2.533333333333333,,108.0,312.0,312.0,4,309.0,1-08,8.0,3-12,42.0,3-12,42.0,3-09,39.0,False,34.0
4.4-4.8,109071921,7~50,12.0,14.0,14.0,7,14.0,2.0,,112.0,114.0,114.0,5,112.0,1-12,12.0,1-14,14.0,1-14,14.0,1-12,12.0,False,2.0
4.4-4.8,109072063,100~300,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109072103,1~7,9.0,9.0,9.0,2,9.0,4.5,9.0,109.0,109.0,109.0,2,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109072115,7~50,7.0,14.0,14.0,3,14.0,4.666666666666667,14.0,107.0,114.0,114.0,1,107.0,1-07,7.0,1-14,14.0,1-14,14.0,1-07,7.0,True,7.0
4.4-4.8,109072233,50~100,9.0,30.0,30.0,23,28.0,1.2727272727272727,,109.0,215.0,215.0,4,210.0,1-09,9.0,2-15,30.0,2-15,30.0,2-10,25.0,False,21.0
