关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
109101221,1091012-21,1,1,1.0
109099253,1090992-53,1,2,0.5
109093981,1090939-81,1,3,0.3333333333333333
109089424,1090894-24,1,4,0.25
109088308,1090883-08,1,5,0.2
109088123,1090881-23,1,6,0.16666666666666666
109087479,1090874-79,1,7,0.14285714285714285
109087337,1090873-37,1,8,0.125
109087147,1090871-47,1,9,0.1111111111111111
109087137,1090871-37,1,10,0.1
109087117,1090871-17,1,11,0.09090909090909091
109087040,1090870-40,1,12,0.08333333333333333
109086943,1090869-43,1,13,0.07692307692307693
109086931,1090869-31,1,14,0.07142857142857142
109086504,1090865-04,1,15,0.06666666666666667
109086430,1090864-30,1,16,0.0625
109086304,1090863-04,1,17,0.058823529411764705
109086246,1090862-46,1,18,0.05555555555555555
109086121,1090861-21,1,19,0.05263157894736842
109085849,1090858-49,1,20,0.05
109085825,1090858-25,1,21,0.047619047619047616
109085781,1090857-81,1,22,0.045454545454545456
109085704,1090857-04,1,23,0.043478260869565216
109085554,1090855-54,1,24,0.041666666666666664
109085553,1090855-53,1,25,0.04
109085535,1090855-35,1,26,0.038461538461538464
109085346,1090853-46,1,27,0.037037037037037035
109085312,1090853-12,1,28,0.03571428571428571
109085120,1090851-20,1,29,0.034482758620689655
109084990,1090849-90,1,30,0.03333333333333333
109084985,1090849-85,1,31,0.03225806451612903
109084977,1090849-77,1,32,0.03125
109084873,1090848-73,1,33,0.030303030303030304
109084760,1090847-60,1,34,0.029411764705882353
109084575,1090845-75,1,35,0.02857142857142857
109084545,1090845-45,1,36,0.027777777777777776
109084544,1090845-44,1,37,0.02702702702702703
109084445,1090844-45,1,38,0.02631578947368421
109084312,1090843-12,1,39,0.02564102564102564
109084220,1090842-20,1,40,0.025
109084021,1090840-21,1,41,0.024390243902439025
109084019,1090840-19,1,42,0.023809523809523808
109083984,1090839-84,1,43,0.023255813953488372
109083919,1090839-19,1,44,0.022727272727272728
109083872,1090838-72,1,45,0.022222222222222223
109083869,1090838-69,1,46,0.021739130434782608
109083662,1090836-62,1,47,0.02127659574468085
109083532,1090835-32,1,48,0.020833333333333332
109083249,1090832-49,1,49,0.02040816326530612
109083204,1090832-04,1,50,0.02
109083129,1090831-29,1,51,0.0196078431372549
109083054,1090830-54,1,52,0.019230769230769232
109083035,1090830-35,1,53,0.018867924528301886
109082989,1090829-89,1,54,0.018518518518518517
109082985,1090829-85,1,55,0.01818181818181818
109082866,1090828-66,1,56,0.017857142857142856
109082855,1090828-55,1,57,0.017543859649122806
109082788,1090827-88,1,58,0.017241379310344827
109082744,1090827-44,1,59,0.01694915254237288
109082708,1090827-08,1,60,0.016666666666666666
109082615,1090826-15,1,61,0.01639344262295082
109082564,1090825-64,1,62,0.016129032258064516
109082497,1090824-97,1,63,0.015873015873015872
109082439,1090824-39,1,64,0.015625
109082334,1090823-34,1,65,0.015384615384615385
109082194,1090821-94,1,66,0.015151515151515152
109082156,1090821-56,1,67,0.014925373134328358
109082055,1090820-55,1,68,0.014705882352941176
109081992,1090819-92,1,69,0.014492753623188406
109081978,1090819-78,1,70,0.014285714285714285
109081976,1090819-76,1,71,0.014084507042253521
109081933,1090819-33,1,72,0.013888888888888888
109081887,1090818-87,1,73,0.0136986301369863
109081871,1090818-71,1,74,0.013513513513513514
109081856,1090818-56,1,75,0.013333333333333334
109081805,1090818-05,1,76,0.013157894736842105
109081740,1090817-40,1,77,0.012987012987012988
109081704,1090817-04,1,78,0.01282051282051282
109081636,1090816-36,1,79,0.012658227848101266
109081629,1090816-29,1,80,0.0125
109081617,1090816-17,1,81,0.012345679012345678
109081390,1090813-90,1,82,0.012195121951219513
109081381,1090813-81,1,83,0.012048192771084338
109081375,1090813-75,1,84,0.011904761904761904
109081309,1090813-09,1,85,0.011764705882352941
109081275,1090812-75,1,86,0.011627906976744186
109081181,1090811-81,1,87,0.011494252873563218
109080915,1090809-15,1,88,0.011363636363636364
109080622,1090806-22,1,89,0.011235955056179775
109080441,1090804-41,1,90,0.011111111111111112
109080148,1090801-48,1,91,0.01098901098901099
109080099,1090800-99,1,92,0.010869565217391304
109080068,1090800-68,1,93,0.010752688172043012
109080040,1090800-40,1,94,0.010638297872340425
109079875,1090798-75,1,95,0.010526315789473684
109079655,1090796-55,1,96,0.010416666666666666
109079597,1090795-97,1,97,0.010309278350515464
109079579,1090795-79,1,98,0.01020408163265306
109079550,1090795-50,1,99,0.010101010101010102
109079511,1090795-11,1,100,0.01
109079452,1090794-52,1,101,0.009900990099009901
109079419,1090794-19,1,102,0.00980392156862745
109079199,1090791-99,1,103,0.009708737864077669
109079014,1090790-14,1,104,0.009615384615384616
109078577,1090785-77,1,105,0.009523809523809525
109078523,1090785-23,1,106,0.009433962264150943
109078356,1090783-56,1,107,0.009345794392523364
109078059,1090780-59,1,108,0.009259259259259259
109077991,1090779-91,1,109,0.009174311926605505
109077940,1090779-40,1,110,0.00909090909090909
