天数,天序,有记录人数,有记录率,平均累计进度,中位累计进度,P75累计进度
首日,1,134,0.9852941176470589,9.149253731343284,9.0,12.0
2日,2,102,0.75,15.068627450980392,13.0,19.0
3日,3,84,0.6176470588235294,18.928571428571427,18.0,24.0
4日,4,69,0.5073529411764706,23.057971014492754,19.0,30.0
5日,5,56,0.4117647058823529,28.214285714285715,23.5,37.25
6日,6,52,0.38235294117647056,31.115384615384617,24.0,41.0
7日,7,48,0.35294117647058826,34.895833333333336,28.5,44.0
8日,8,49,0.3602941176470588,37.734693877551024,31.0,49.0
9日,9,42,0.3088235294117647,39.857142857142854,32.5,53.25
10日,10,36,0.2647058823529412,45.52777777777778,42.0,60.0
11日,11,36,0.2647058823529412,48.5,43.5,66.25
12日,12,31,0.22794117647058823,52.903225806451616,54.0,70.5
13日,13,33,0.2426470588235294,51.78787878787879,46.0,74.0
14日,14,32,0.23529411764705882,54.40625,52.5,75.25
15日,15,32,0.23529411764705882,55.84375,57.0,75.25
16日,16,32,0.23529411764705882,56.90625,60.0,80.25
17日,17,31,0.22794117647058823,57.354838709677416,61.0,80.5
18日,18,25,0.18382352941176472,64.32,69.0,82.0
19日,19,26,0.19117647058823528,62.61538461538461,70.0,82.0
20日,20,25,0.18382352941176472,67.2,71.0,84.0
21日,21,26,0.19117647058823528,62.19230769230769,56.0,85.0
22日,22,25,0.18382352941176472,64.92,70.0,90.0
23日,23,21,0.15441176470588236,68.76190476190476,74.0,93.0
24日,24,21,0.15441176470588236,70.0952380952381,74.0,94.0
