天数,天序,有新增记录人数,平均新增关卡,中位新增关卡,新增为0人数,新增为0占有记录比
首日,1,223,9.233183856502242,9.0,0,0.0
2日,2,141,4.113475177304965,4.0,30,0.2127659574468085
3日,3,97,2.649484536082474,1.0,38,0.3917525773195876
4日,4,80,2.6875,2.0,29,0.3625
5日,5,71,2.6338028169014085,1.0,26,0.36619718309859156
6日,6,62,2.2903225806451615,1.0,24,0.3870967741935484
7日,7,57,1.9473684210526316,1.0,24,0.42105263157894735
8日,8,53,2.0754716981132075,1.0,23,0.4339622641509434
9日,9,46,1.9782608695652173,1.0,20,0.43478260869565216
10日,10,37,1.162162162162162,0.0,23,0.6216216216216216
11日,11,31,2.0,0.0,16,0.5161290322580645
12日,12,31,1.032258064516129,0.0,17,0.5483870967741935
13日,13,29,1.4482758620689655,1.0,14,0.4827586206896552
14日,14,30,1.3666666666666667,1.0,14,0.4666666666666667
15日,15,29,0.896551724137931,0.0,18,0.6206896551724138
16日,16,26,1.2307692307692308,0.5,13,0.5
17日,17,27,0.5555555555555556,0.0,21,0.7777777777777778
18日,18,26,1.3461538461538463,0.0,14,0.5384615384615384
19日,19,19,0.8947368421052632,0.0,11,0.5789473684210527
20日,20,17,1.2941176470588236,1.0,6,0.35294117647058826
21日,21,13,1.5384615384615385,1.0,6,0.46153846153846156
22日,22,8,0.625,0.0,5,0.625
23日,23,3,0.3333333333333333,0.0,2,0.6666666666666666
24日,24,3,0.0,0.0,3,1.0
