最终原始关卡,最终原始关卡标签,人数
112.0,1-12,22
114.0,1-14,18
103.0,1-03,16
204.0,2-04,16
104.0,1-04,13
109.0,1-09,10
110.0,1-10,10
113.0,1-13,10
106.0,1-06,9
209.0,2-09,8
107.0,1-07,7
108.0,1-08,7
111.0,1-11,7
215.0,2-15,6
115.0,1-15,6
309.0,3-09,5
205.0,2-05,4
105.0,1-05,4
304.0,3-04,3
409.0,4-09,3
102.0,1-02,3
214.0,2-14,3
302.0,3-02,3
206.0,2-06,2
301.0,3-01,2
203.0,2-03,2
202.0,2-02,2
314.0,3-14,2
514.0,5-14,2
612.0,6-12,1
501.0,5-01,1
603.0,6-03,1
602.0,6-02,1
601.0,6-01,1
511.0,5-11,1
509.0,5-09,1
508.0,5-08,1
712.0,7-12,1
505.0,5-05,1
101.0,1-01,1
414.0,4-14,1
412.0,4-12,1
408.0,4-08,1
405.0,4-05,1
404.0,4-04,1
402.0,4-02,1
312.0,3-12,1
311.0,3-11,1
308.0,3-08,1
207.0,2-07,1
201.0,2-01,1
,,1
