游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,最终原始关卡标签,最高原始关卡标签,最长停留原始关卡标签,是否流失,首日到最终进度差
108963161,50~100,10.0,51.0,51.0,23,47.0,2.1363636363636362,,110.0,406.0,406.0,3,204,4-06,4-06,2-04,False,41.0
108963268,7~50,7.0,32.0,32.0,15,29.0,2.230769230769231,15.0,107.0,302.0,302.0,3,209,3-02,3-02,2-09,True,25.0
108963314,1~7,12.0,79.0,79.0,24,79.0,3.2916666666666665,,112.0,604.0,604.0,3,414,6-04,6-04,4-14,False,67.0
108963591,50~100,8.0,20.0,20.0,5,20.0,4.0,20.0,108.0,205.0,205.0,2,205,2-05,2-05,2-05,True,12.0
108963593,1~7,10.0,37.0,37.0,24,37.0,1.5416666666666667,,110.0,307.0,307.0,4,204,3-07,3-07,2-04,False,27.0
108963703,7~50,19.0,44.0,44.0,8,44.0,5.5,,204.0,314.0,314.0,2,314,3-14,3-14,3-14,False,25.0
108963705,1~7,9.0,81.0,81.0,24,81.0,3.375,,109.0,606.0,606.0,4,509,6-06,6-06,5-09,False,72.0
108963720,50~100,9.0,15.0,15.0,6,15.0,2.5,,109.0,115.0,115.0,2,111,1-15,1-15,1-11,False,6.0
108964042,1~7,6.0,10.0,10.0,3,10.0,3.3333333333333335,10.0,106.0,110.0,110.0,1,106,1-10,1-10,1-06,True,4.0
108964503,1~7,10.0,16.0,16.0,11,16.0,1.4545454545454546,,110.0,201.0,201.0,3,115,2-01,2-01,1-15,False,6.0
108964551,1~7,2.0,3.0,3.0,2,3.0,1.5,3.0,102.0,103.0,103.0,1,102,1-03,1-03,1-02,True,1.0
108964576,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108964627,1~7,6.0,7.0,7.0,2,6.0,6.0,7.0,106.0,107.0,107.0,1,106,1-07,1-07,1-06,True,1.0
108964657,1~7,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112,1-12,1-12,1-12,True,0.0
108964722,1~7,9.0,15.0,15.0,3,15.0,5.0,15.0,109.0,115.0,115.0,1,109,1-15,1-15,1-09,True,6.0
108964788,1~7,2.0,2.0,2.0,2,2.0,2.0,2.0,102.0,102.0,102.0,1,102,1-02,1-02,1-02,True,0.0
108964861,7~50,9.0,13.0,13.0,4,12.0,4.0,13.0,109.0,113.0,113.0,2,113,1-13,1-13,1-13,True,4.0
108964988,1~7,7.0,13.0,13.0,3,13.0,4.333333333333333,13.0,107.0,113.0,113.0,1,107,1-13,1-13,1-07,True,6.0
108964996,1~7,9.0,16.0,16.0,21,15.0,0.75,,109.0,201.0,201.0,13,115,2-01,2-01,1-15,False,7.0
108965004,7~50,12.0,39.0,39.0,7,39.0,6.5,,112.0,309.0,309.0,2,302,3-09,3-09,3-02,False,27.0
108965066,7~50,6.0,19.0,19.0,8,16.0,3.2,15.0,106.0,204.0,204.0,1,106,2-04,2-04,1-06,True,13.0
108965114,1~7,6.0,6.0,6.0,2,6.0,3.0,6.0,106.0,106.0,106.0,2,106,1-06,1-06,1-06,True,0.0
108965174,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104,1-04,1-04,1-04,True,0.0
108965190,1~7,6.0,12.0,12.0,7,8.0,2.6666666666666665,8.0,106.0,112.0,112.0,2,108,1-12,1-12,1-08,True,6.0
108965211,7~50,1.0,1.0,1.0,1,1.0,1.0,1.0,101.0,101.0,101.0,1,101,1-01,1-01,1-01,True,0.0
108965538,1~7,3.0,34.0,34.0,12,34.0,3.090909090909091,,103.0,304.0,304.0,4,304,3-04,3-04,3-04,False,31.0
108965543,100~300,13.0,15.0,15.0,2,15.0,7.5,15.0,113.0,115.0,115.0,1,113,1-15,1-15,1-13,True,2.0
108965600,1~7,7.0,78.0,78.0,24,78.0,3.25,,107.0,603.0,603.0,3,514,6-03,6-03,5-14,False,71.0
108965664,7~50,12.0,102.0,102.0,24,102.0,4.25,,112.0,712.0,712.0,4,707,7-12,7-12,7-07,False,90.0
108965928,1~7,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107,1-07,1-07,1-07,True,0.0
108966093,1~7,3.0,10.0,10.0,3,10.0,3.3333333333333335,10.0,103.0,110.0,110.0,2,110,1-10,1-10,1-10,True,7.0
108966177,7~50,6.0,9.0,9.0,2,9.0,4.5,9.0,106.0,109.0,109.0,1,106,1-09,1-09,1-06,True,3.0
108966226,1~7,,19.0,19.0,2,7.0,7.0,19.0,112.0,204.0,204.0,1,112,2-04,2-04,1-12,True,
108966231,1~7,3.0,8.0,8.0,2,8.0,4.0,8.0,103.0,108.0,108.0,1,103,1-08,1-08,1-03,True,5.0
108966472,50~100,19.0,94.0,94.0,24,94.0,3.9166666666666665,,204.0,704.0,704.0,4,607,7-04,7-04,6-07,False,75.0
108966486,300~+∞,15.0,19.0,19.0,2,19.0,9.5,19.0,115.0,204.0,204.0,1,115,2-04,2-04,1-15,True,4.0
108966495,7~50,8.0,15.0,15.0,6,15.0,3.0,,108.0,115.0,115.0,2,112,1-15,1-15,1-12,False,7.0
108966510,7~50,19.0,74.0,74.0,22,70.0,3.5,,204.0,514.0,514.0,2,415,5-14,5-14,4-15,False,55.0
108966695,1~7,19.0,24.0,24.0,6,24.0,4.8,,204.0,209.0,209.0,3,204,2-09,2-09,2-04,False,5.0
108966712,1~7,13.0,69.0,69.0,20,69.0,3.45,,113.0,509.0,509.0,4,501,5-09,5-09,5-01,False,56.0
108966783,1~7,6.0,12.0,12.0,4,10.0,3.3333333333333335,,106.0,112.0,112.0,2,106,1-12,1-12,1-06,False,6.0
108966820,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108966838,1~7,11.0,12.0,12.0,2,11.0,11.0,12.0,111.0,112.0,112.0,1,111,1-12,1-12,1-11,True,1.0
108966913,1~7,10.0,19.0,19.0,4,19.0,4.75,19.0,110.0,204.0,204.0,2,204,2-04,2-04,2-04,True,9.0
108966933,100~300,12.0,20.0,20.0,9,20.0,2.2222222222222223,,112.0,205.0,205.0,3,114,2-05,2-05,1-14,False,8.0
108966978,1~7,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112,1-12,1-12,1-12,True,0.0
108967239,1~7,7.0,35.0,35.0,24,35.0,1.4583333333333333,,107.0,305.0,305.0,5,215,3-05,3-05,2-15,False,28.0
108967581,1~7,10.0,11.0,11.0,2,10.0,10.0,10.0,110.0,111.0,111.0,1,110,1-11,1-11,1-10,True,1.0
108967631,1~7,7.0,21.0,21.0,8,20.0,3.3333333333333335,,107.0,206.0,206.0,2,204,2-06,2-06,2-04,False,14.0
108967666,7~50,13.0,31.0,31.0,11,23.0,3.2857142857142856,21.0,113.0,301.0,301.0,2,113,3-01,3-01,1-13,True,18.0
108967982,100~300,2.0,3.0,3.0,2,3.0,1.5,3.0,102.0,103.0,103.0,1,102,1-03,1-03,1-02,True,1.0
108968012,1~7,9.0,26.0,26.0,12,26.0,2.888888888888889,24.0,109.0,211.0,211.0,3,209,2-11,2-11,2-09,True,17.0
108968082,7~50,12.0,71.0,71.0,21,71.0,3.380952380952381,,112.0,511.0,511.0,6,511,5-11,5-11,5-11,False,59.0
108968147,1~7,5.0,6.0,6.0,2,6.0,3.0,6.0,105.0,106.0,106.0,1,105,1-06,1-06,1-05,True,1.0
108968319,1~7,6.0,15.0,15.0,7,10.0,2.5,14.0,106.0,115.0,115.0,3,115,1-15,1-15,1-15,True,9.0
108968592,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102,1-02,1-02,1-02,True,0.0
108968712,1~7,5.0,9.0,9.0,4,9.0,2.25,9.0,105.0,109.0,109.0,1,105,1-09,1-09,1-05,True,4.0
108968861,1~7,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107,1-07,1-07,1-07,True,0.0
108968875,7~50,13.0,29.0,29.0,15,25.0,2.272727272727273,19.0,113.0,214.0,214.0,4,204,2-14,2-14,2-04,True,16.0
108968964,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108968974,7~50,10.0,19.0,19.0,6,19.0,3.1666666666666665,,110.0,204.0,204.0,3,115,2-04,2-04,1-15,False,9.0
108969043,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108969102,1~7,6.0,15.0,15.0,9,15.0,2.5,,106.0,115.0,115.0,2,113,1-15,1-15,1-13,False,9.0
108969306,50~100,11.0,34.0,34.0,19,34.0,1.7894736842105263,,111.0,304.0,304.0,5,304,3-04,3-04,3-04,False,23.0
108969418,1~7,6.0,6.0,6.0,2,6.0,3.0,6.0,106.0,106.0,106.0,2,106,1-06,1-06,1-06,True,0.0
108969435,100~300,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108,1-08,1-08,1-08,True,0.0
108969439,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108969470,1~7,4.0,46.0,46.0,24,46.0,1.9166666666666667,,104.0,401.0,401.0,6,314,4-01,4-01,3-14,False,42.0
108969504,300~+∞,12.0,121.0,121.0,23,119.0,5.409090909090909,,112.0,901.0,901.0,2,112,9-01,9-01,1-12,False,109.0
108969783,1~7,3.0,6.0,6.0,4,6.0,1.5,6.0,103.0,106.0,106.0,2,106,1-06,1-06,1-06,True,3.0
108969869,7~50,11.0,14.0,14.0,4,14.0,3.5,14.0,111.0,114.0,114.0,2,114,1-14,1-14,1-14,True,3.0
108969907,7~50,6.0,25.0,25.0,6,25.0,4.166666666666667,,106.0,210.0,210.0,3,210,2-10,2-10,2-10,False,19.0
108969960,7~50,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110,1-10,1-10,1-10,True,0.0
108970032,7~50,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109,1-09,1-09,1-09,True,0.0
108970145,7~50,12.0,44.0,44.0,21,42.0,2.210526315789474,,112.0,314.0,314.0,4,304,3-14,3-14,3-04,False,32.0
108970187,50~100,11.0,12.0,12.0,3,12.0,6.0,12.0,111.0,112.0,112.0,1,111,1-12,1-12,1-11,True,1.0
108970248,1~7,4.0,13.0,13.0,3,13.0,4.333333333333333,13.0,104.0,113.0,113.0,1,104,1-13,1-13,1-04,True,9.0
108970499,100~300,11.0,18.0,18.0,3,18.0,9.0,18.0,111.0,203.0,203.0,1,111,2-03,2-03,1-11,True,7.0
108970519,100~300,17.0,97.0,97.0,24,97.0,4.041666666666667,,202.0,707.0,707.0,3,514,7-07,7-07,5-14,False,80.0
108970558,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108970616,1~7,9.0,11.0,11.0,3,9.0,9.0,11.0,109.0,111.0,111.0,1,109,1-11,1-11,1-09,True,2.0
108970623,100~300,12.0,12.0,12.0,4,12.0,4.0,,112.0,112.0,112.0,2,112,1-12,1-12,1-12,False,0.0
108970638,1~7,10.0,14.0,14.0,6,14.0,3.5,,110.0,114.0,114.0,2,114,1-14,1-14,1-14,False,4.0
108970898,50~100,20.0,28.0,28.0,8,28.0,3.5,,205.0,213.0,213.0,2,211,2-13,2-13,2-11,False,8.0
108970922,1~7,7.0,24.0,24.0,17,24.0,1.411764705882353,,107.0,209.0,209.0,4,207,2-09,2-09,2-07,False,17.0
