口径,关卡,关卡标签,关卡序号,是否前四关基准段,到达该关人数,流失人数,最终停留人数,最长停留人数,平均连续停留天数,归一化流失率
1月基线,101,1-01,1.0,True,273,2,2,2,1.0,0.007326007326007326
1月基线,102,1-02,2.0,True,271,7,8,12,1.1666666666666667,0.025830258302583026
1月基线,103,1-03,3.0,True,263,11,11,11,1.0,0.04182509505703422
1月基线,104,1-04,4.0,True,252,7,8,9,1.0,0.027777777777777776
1月基线,105,1-05,5.0,False,244,2,2,6,1.0,0.00819672131147541
1月基线,106,1-06,6.0,False,242,20,20,30,1.2666666666666666,0.08264462809917356
1月基线,107,1-07,7.0,False,222,9,9,13,1.1538461538461537,0.04054054054054054
1月基线,108,1-08,8.0,False,213,8,8,7,1.2857142857142858,0.03755868544600939
1月基线,109,1-09,9.0,False,205,7,7,8,1.25,0.03414634146341464
1月基线,110,1-10,10.0,False,198,16,17,12,1.5833333333333333,0.08080808080808081
1月基线,111,1-11,11.0,False,181,3,4,6,1.6666666666666667,0.016574585635359115
1月基线,112,1-12,12.0,False,177,10,12,12,1.5,0.05649717514124294
1月基线,113,1-13,13.0,False,165,14,15,17,1.9411764705882353,0.08484848484848485
1月基线,114,1-14,14.0,False,150,5,6,8,2.375,0.03333333333333333
1月基线,115,1-15,15.0,False,144,8,14,11,3.272727272727273,0.05555555555555555
1月基线,201,2-01,16.0,False,130,0,3,0,0.0,0.0
1月基线,202,2-02,17.0,False,127,1,2,1,2.0,0.007874015748031496
1月基线,203,2-03,18.0,False,125,3,3,1,2.0,0.024
1月基线,204,2-04,19.0,False,122,13,19,22,2.8636363636363638,0.10655737704918032
1月基线,205,2-05,20.0,False,103,2,4,2,2.0,0.019417475728155338
1月基线,206,2-06,21.0,False,99,1,4,1,2.0,0.010101010101010102
1月基线,207,2-07,22.0,False,95,0,1,4,2.75,0.0
1月基线,208,2-08,23.0,False,94,1,3,1,3.0,0.010638297872340425
1月基线,209,2-09,24.0,False,91,2,6,6,2.5,0.02197802197802198
1月基线,210,2-10,25.0,False,85,0,3,6,5.0,0.0
1月基线,211,2-11,26.0,False,82,1,2,1,2.0,0.012195121951219513
1月基线,213,2-13,28.0,False,80,0,1,0,0.0,0.0
1月基线,214,2-14,29.0,False,79,2,2,4,2.5,0.02531645569620253
1月基线,215,2-15,30.0,False,77,0,4,6,4.333333333333333,0.0
1月基线,301,3-01,31.0,False,73,1,2,2,4.0,0.0136986301369863
1月基线,302,3-02,32.0,False,71,2,6,4,3.0,0.028169014084507043
1月基线,304,3-04,34.0,False,65,0,4,5,4.4,0.0
1月基线,305,3-05,35.0,False,61,0,2,0,0.0,0.0
1月基线,306,3-06,36.0,False,59,1,1,0,0.0,0.01694915254237288
1月基线,307,3-07,37.0,False,58,0,2,1,6.0,0.0
1月基线,309,3-09,39.0,False,56,1,4,3,5.0,0.017857142857142856
1月基线,311,3-11,41.0,False,52,0,1,0,0.0,0.0
1月基线,313,3-13,43.0,False,51,0,1,1,3.0,0.0
1月基线,314,3-14,44.0,False,50,1,9,10,3.4,0.02
1月基线,315,3-15,45.0,False,41,0,3,0,0.0,0.0
1月基线,401,4-01,46.0,False,38,0,1,0,0.0,0.0
1月基线,403,4-03,48.0,False,37,0,1,0,0.0,0.0
1月基线,405,4-05,50.0,False,36,0,1,3,3.6666666666666665,0.0
1月基线,406,4-06,51.0,False,35,0,1,0,0.0,0.0
1月基线,414,4-14,59.0,False,34,0,0,1,3.0,0.0
1月基线,415,4-15,60.0,False,34,0,0,1,2.0,0.0
1月基线,501,5-01,61.0,False,34,0,1,1,4.0,0.0
1月基线,504,5-04,64.0,False,33,0,0,1,5.0,0.0
1月基线,506,5-06,66.0,False,33,0,1,1,3.0,0.0
1月基线,507,5-07,67.0,False,32,0,1,1,2.0,0.0
1月基线,509,5-09,69.0,False,31,0,2,1,4.0,0.0
1月基线,510,5-10,70.0,False,29,0,1,0,0.0,0.0
1月基线,511,5-11,71.0,False,28,0,2,3,4.666666666666667,0.0
1月基线,512,5-12,72.0,False,26,0,0,1,2.0,0.0
1月基线,514,5-14,74.0,False,26,0,4,5,3.2,0.0
1月基线,601,6-01,76.0,False,22,0,0,1,4.0,0.0
1月基线,602,6-02,77.0,False,22,0,1,0,0.0,0.0
1月基线,603,6-03,78.0,False,21,0,1,0,0.0,0.0
1月基线,604,6-04,79.0,False,20,0,1,2,4.5,0.0
1月基线,605,6-05,80.0,False,19,0,2,0,0.0,0.0
1月基线,606,6-06,81.0,False,17,0,1,0,0.0,0.0
1月基线,607,6-07,82.0,False,16,0,2,2,5.0,0.0
1月基线,611,6-11,86.0,False,14,0,1,0,0.0,0.0
1月基线,612,6-12,87.0,False,13,0,1,0,0.0,0.0
1月基线,704,7-04,94.0,False,12,0,3,0,0.0,0.0
1月基线,707,7-07,97.0,False,9,0,1,1,4.0,0.0
1月基线,710,7-10,100.0,False,8,0,0,1,3.0,0.0
1月基线,712,7-12,102.0,False,8,0,1,1,2.0,0.0
1月基线,801,8-01,106.0,False,7,0,1,0,0.0,0.0
1月基线,802,8-02,107.0,False,6,0,1,0,0.0,0.0
1月基线,901,9-01,121.0,False,5,0,2,0,0.0,0.0
1月基线,905,9-05,125.0,False,3,0,1,0,0.0,0.0
1月基线,1005,10-05,140.0,False,2,0,1,1,5.0,0.0
1月基线,1009,10-09,144.0,False,1,0,1,0,0.0,0.0
