关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
109000315,1090003-15,1,1,1.0
108996361,1089963-61,1,2,0.5
108992304,1089923-04,1,3,0.3333333333333333
108990555,1089905-55,1,4,0.25
108988692,1089886-92,1,5,0.2
108988227,1089882-27,1,6,0.16666666666666666
108984015,1089840-15,1,7,0.14285714285714285
108981750,1089817-50,1,8,0.125
108981060,1089810-60,1,9,0.1111111111111111
108980753,1089807-53,1,10,0.1
108976049,1089760-49,1,11,0.09090909090909091
108975225,1089752-25,1,12,0.08333333333333333
108974193,1089741-93,1,13,0.07692307692307693
108973676,1089736-76,1,14,0.07142857142857142
108973651,1089736-51,1,15,0.06666666666666667
108973555,1089735-55,1,16,0.0625
108973488,1089734-88,1,17,0.058823529411764705
108973481,1089734-81,1,18,0.05555555555555555
108973411,1089734-11,1,19,0.05263157894736842
108973289,1089732-89,1,20,0.05
108973280,1089732-80,1,21,0.047619047619047616
108973255,1089732-55,1,22,0.045454545454545456
108973214,1089732-14,1,23,0.043478260869565216
108973099,1089730-99,1,24,0.041666666666666664
108973095,1089730-95,1,25,0.04
108973025,1089730-25,1,26,0.038461538461538464
108973018,1089730-18,1,27,0.037037037037037035
108972945,1089729-45,1,28,0.03571428571428571
108972889,1089728-89,1,29,0.034482758620689655
108972848,1089728-48,1,30,0.03333333333333333
108972754,1089727-54,1,31,0.03225806451612903
108972731,1089727-31,1,32,0.03125
108972729,1089727-29,1,33,0.030303030303030304
108972680,1089726-80,1,34,0.029411764705882353
108972535,1089725-35,1,35,0.02857142857142857
108972372,1089723-72,1,36,0.027777777777777776
108972297,1089722-97,1,37,0.02702702702702703
108972295,1089722-95,1,38,0.02631578947368421
108972240,1089722-40,1,39,0.02564102564102564
108972082,1089720-82,1,40,0.025
108972008,1089720-08,1,41,0.024390243902439025
108971978,1089719-78,1,42,0.023809523809523808
108971759,1089717-59,1,43,0.023255813953488372
108971624,1089716-24,1,44,0.022727272727272728
108971475,1089714-75,1,45,0.022222222222222223
108971461,1089714-61,1,46,0.021739130434782608
108971260,1089712-60,1,47,0.02127659574468085
108971152,1089711-52,1,48,0.020833333333333332
108971151,1089711-51,1,49,0.02040816326530612
108971127,1089711-27,1,50,0.02
108970937,1089709-37,1,51,0.0196078431372549
108970922,1089709-22,1,52,0.019230769230769232
108970898,1089708-98,1,53,0.018867924528301886
108970638,1089706-38,1,54,0.018518518518518517
108970623,1089706-23,1,55,0.01818181818181818
108970616,1089706-16,1,56,0.017857142857142856
108970558,1089705-58,1,57,0.017543859649122806
108970519,1089705-19,1,58,0.017241379310344827
108970499,1089704-99,1,59,0.01694915254237288
108970248,1089702-48,1,60,0.016666666666666666
108970187,1089701-87,1,61,0.01639344262295082
108970145,1089701-45,1,62,0.016129032258064516
108970032,1089700-32,1,63,0.015873015873015872
108969960,1089699-60,1,64,0.015625
108969907,1089699-07,1,65,0.015384615384615385
108969869,1089698-69,1,66,0.015151515151515152
108969783,1089697-83,1,67,0.014925373134328358
108969504,1089695-04,1,68,0.014705882352941176
108969470,1089694-70,1,69,0.014492753623188406
108969439,1089694-39,1,70,0.014285714285714285
108969435,1089694-35,1,71,0.014084507042253521
108969418,1089694-18,1,72,0.013888888888888888
108969306,1089693-06,1,73,0.0136986301369863
108969102,1089691-02,1,74,0.013513513513513514
108969043,1089690-43,1,75,0.013333333333333334
