天数,天序,有记录人数,有记录率,平均累计进度,中位累计进度,P75累计进度
首日,1,223,0.9780701754385965,9.233183856502242,9.0,12.0
2日,2,145,0.6359649122807017,15.013793103448275,14.0,19.0
3日,3,106,0.4649122807017544,18.047169811320753,16.0,24.0
4日,4,95,0.4166666666666667,20.94736842105263,19.0,24.5
5日,5,77,0.33771929824561403,24.90909090909091,22.0,29.0
6日,6,73,0.3201754385964912,26.753424657534246,24.0,32.0
7日,7,64,0.2807017543859649,29.296875,24.5,35.0
8日,8,59,0.25877192982456143,32.40677966101695,29.0,39.5
9日,9,50,0.21929824561403508,34.9,31.5,44.0
10日,10,43,0.18859649122807018,38.395348837209305,36.0,49.5
11日,11,37,0.16228070175438597,38.54054054054054,34.0,49.0
12日,12,35,0.15350877192982457,39.714285714285715,34.0,51.5
13日,13,35,0.15350877192982457,39.857142857142854,34.0,53.5
14日,14,40,0.17543859649122806,37.725,33.0,45.75
15日,15,34,0.14912280701754385,40.05882352941177,34.0,52.0
16日,16,33,0.14473684210526316,40.60606060606061,39.0,54.0
17日,17,32,0.14035087719298245,41.28125,36.0,54.0
18日,18,27,0.11842105263157894,47.2962962962963,44.0,63.5
19日,19,22,0.09649122807017543,49.54545454545455,51.0,65.5
20日,20,21,0.09210526315789473,51.904761904761905,53.0,71.0
21日,21,18,0.07894736842105263,47.94444444444444,44.5,65.0
22日,22,9,0.039473684210526314,55.111111111111114,53.0,68.0
23日,23,7,0.03070175438596491,37.42857142857143,32.0,55.5
24日,24,4,0.017543859649122806,47.5,50.5,55.25
