天数,天序,有新增记录人数,平均新增关卡,中位新增关卡,新增为0人数,新增为0占有记录比
首日,1,132,9.272727272727273,9.0,0,0.0
2日,2,90,5.6,5.0,11,0.12222222222222222
3日,3,72,2.3333333333333335,2.0,23,0.3194444444444444
4日,4,62,2.725806451612903,2.0,21,0.3387096774193548
5日,5,52,2.6923076923076925,3.0,12,0.23076923076923078
6日,6,52,2.6538461538461537,2.0,17,0.3269230769230769
7日,7,50,2.38,1.0,19,0.38
8日,8,43,2.9302325581395348,2.0,15,0.3488372093023256
9日,9,41,1.5609756097560976,0.0,21,0.5121951219512195
10日,10,39,1.9743589743589745,0.0,21,0.5384615384615384
11日,11,35,1.8571428571428572,1.0,16,0.45714285714285713
12日,12,34,1.4411764705882353,0.5,17,0.5
13日,13,26,2.6153846153846154,0.5,13,0.5
14日,14,26,1.3076923076923077,0.0,16,0.6153846153846154
15日,15,25,1.2,0.0,15,0.6
16日,16,20,1.7,1.0,8,0.4
17日,17,19,2.0,1.0,9,0.47368421052631576
18日,18,21,1.5714285714285714,0.0,12,0.5714285714285714
19日,19,20,2.15,2.0,9,0.45
20日,20,19,1.736842105263158,1.0,9,0.47368421052631576
21日,21,21,1.3333333333333333,1.0,10,0.47619047619047616
22日,22,20,1.9,0.5,10,0.5
23日,23,18,2.0555555555555554,1.5,8,0.4444444444444444
24日,24,18,2.1666666666666665,1.0,6,0.3333333333333333
