游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,最终原始关卡标签,最高原始关卡标签,最长停留原始关卡标签,是否流失,首日到最终进度差
108949517,1~7,9.0,14.0,14.0,3,14.0,4.666666666666667,14.0,109.0,114.0,114.0,2,114,1-14,1-14,1-14,True,5.0
108949549,1~7,19.0,19.0,19.0,1,19.0,19.0,19.0,204.0,204.0,204.0,1,204,2-04,2-04,2-04,True,0.0
108949554,1~7,14.0,19.0,19.0,6,17.0,3.4,,114.0,204.0,204.0,4,204,2-04,2-04,2-04,False,5.0
108950036,100~300,15.0,15.0,15.0,4,15.0,7.5,,115.0,115.0,115.0,2,115,1-15,1-15,1-15,False,0.0
108950484,1~7,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107,1-07,1-07,1-07,True,0.0
108950586,1~7,1.0,1.0,1.0,1,1.0,1.0,1.0,101.0,101.0,101.0,1,101,1-01,1-01,1-01,True,0.0
108950733,1~7,7.0,7.0,7.0,2,7.0,3.5,7.0,107.0,107.0,107.0,2,107,1-07,1-07,1-07,True,0.0
108950824,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104,1-04,1-04,1-04,True,0.0
108950837,1~7,12.0,77.0,77.0,24,77.0,3.2083333333333335,,112.0,602.0,602.0,5,309,6-02,6-02,3-09,False,65.0
108950937,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108951021,7~50,9.0,106.0,106.0,24,106.0,4.416666666666667,,109.0,801.0,801.0,4,604,8-01,8-01,6-04,False,97.0
108951209,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108951251,7~50,10.0,34.0,34.0,9,34.0,3.7777777777777777,,110.0,304.0,304.0,2,214,3-04,3-04,2-14,False,24.0
108951266,1~7,9.0,13.0,13.0,3,12.0,6.0,12.0,109.0,113.0,113.0,1,109,1-13,1-13,1-09,True,4.0
108951395,100~300,10.0,12.0,12.0,2,12.0,6.0,12.0,110.0,112.0,112.0,1,110,1-12,1-12,1-10,True,2.0
108951518,7~50,14.0,74.0,74.0,24,74.0,3.0833333333333335,,114.0,514.0,514.0,4,511,5-14,5-14,5-11,False,60.0
108951560,50~100,7.0,10.0,10.0,2,10.0,5.0,10.0,107.0,110.0,110.0,1,107,1-10,1-10,1-07,True,3.0
108951609,1~7,4.0,10.0,10.0,2,10.0,5.0,10.0,104.0,110.0,110.0,1,104,1-10,1-10,1-04,True,6.0
108951764,100~300,13.0,121.0,121.0,24,121.0,5.041666666666667,,113.0,901.0,901.0,2,314,9-01,9-01,3-14,False,108.0
108951799,100~300,6.0,39.0,39.0,14,39.0,2.7857142857142856,,106.0,309.0,309.0,4,301,3-09,3-09,3-01,False,33.0
108951802,1~7,6.0,24.0,24.0,4,24.0,6.0,24.0,106.0,209.0,209.0,2,204,2-09,2-09,2-04,True,18.0
108951832,1~7,8.0,13.0,13.0,4,13.0,3.25,13.0,108.0,113.0,113.0,3,113,1-13,1-13,1-13,True,5.0
108951888,7~50,7.0,20.0,20.0,8,20.0,2.5,,107.0,205.0,205.0,4,204,2-05,2-05,2-04,False,13.0
108951958,1~7,6.0,7.0,7.0,2,7.0,3.5,7.0,106.0,107.0,107.0,1,106,1-07,1-07,1-06,True,1.0
108952033,7~50,7.0,44.0,44.0,8,44.0,5.5,,107.0,314.0,314.0,2,314,3-14,3-14,3-14,False,37.0
108952256,1~7,2.0,4.0,4.0,2,4.0,2.0,4.0,102.0,104.0,104.0,1,102,1-04,1-04,1-02,True,2.0
108952447,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102,1-02,1-02,1-02,True,0.0
108952535,1~7,,15.0,15.0,1,0.0,,15.0,115.0,115.0,115.0,1,115,1-15,1-15,1-15,True,
108952553,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102,1-02,1-02,1-02,True,0.0
108952653,1~7,,4.0,4.0,2,0.0,,,103.0,104.0,104.0,1,103,1-04,1-04,1-03,False,
108952718,1~7,14.0,25.0,25.0,18,25.0,1.4705882352941178,,114.0,210.0,210.0,9,210,2-10,2-10,2-10,False,11.0
108952750,1~7,5.0,15.0,15.0,15,15.0,1.25,,105.0,115.0,115.0,5,115,1-15,1-15,1-15,False,10.0
108952819,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108952826,1~7,12.0,37.0,37.0,19,37.0,2.3125,,112.0,307.0,307.0,6,307,3-07,3-07,3-07,False,25.0
108952865,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108952939,50~100,13.0,13.0,13.0,4,13.0,4.333333333333333,,113.0,113.0,113.0,2,113,1-13,1-13,1-13,False,0.0
108953016,100~300,7.0,32.0,32.0,14,27.0,2.25,,107.0,302.0,302.0,3,302,3-02,3-02,3-02,False,25.0
108953225,1~7,13.0,16.0,16.0,11,16.0,2.0,,113.0,201.0,201.0,3,113,2-01,2-01,1-13,False,3.0
108953256,100~300,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108953285,1~7,9.0,15.0,15.0,3,15.0,5.0,15.0,109.0,115.0,115.0,1,109,1-15,1-15,1-09,True,6.0
108953309,1~7,3.0,21.0,21.0,6,13.0,2.6,,103.0,206.0,206.0,3,113,2-06,2-06,1-13,False,18.0
108953362,1~7,12.0,23.0,23.0,8,23.0,2.875,,112.0,208.0,208.0,3,208,2-08,2-08,2-08,False,11.0
108953443,1~7,19.0,32.0,32.0,8,32.0,4.571428571428571,,204.0,302.0,302.0,2,214,3-02,3-02,2-14,False,13.0
108953502,1~7,6.0,32.0,32.0,20,32.0,1.7777777777777777,,106.0,302.0,302.0,4,215,3-02,3-02,2-15,False,26.0
108953522,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104,1-04,1-04,1-04,True,0.0
108953538,1~7,10.0,14.0,14.0,6,14.0,2.8,14.0,110.0,114.0,114.0,3,114,1-14,1-14,1-14,True,4.0
108953635,50~100,15.0,32.0,32.0,2,32.0,16.0,32.0,115.0,302.0,302.0,1,115,3-02,3-02,1-15,True,17.0
108953648,1~7,6.0,8.0,8.0,6,8.0,2.0,7.0,106.0,108.0,108.0,2,107,1-08,1-08,1-07,True,2.0
108953767,1~7,14.0,32.0,32.0,9,32.0,4.571428571428571,,114.0,302.0,302.0,2,214,3-02,3-02,2-14,False,18.0
108953782,1~7,6.0,19.0,19.0,5,16.0,5.333333333333333,,106.0,204.0,204.0,1,106,2-04,2-04,1-06,False,13.0
108953931,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108954418,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108954590,1~7,13.0,13.0,13.0,1,13.0,13.0,13.0,113.0,113.0,113.0,1,113,1-13,1-13,1-13,True,0.0
108954637,1~7,13.0,13.0,13.0,2,13.0,13.0,13.0,113.0,113.0,113.0,1,113,1-13,1-13,1-13,True,0.0
108954732,7~50,11.0,44.0,44.0,24,44.0,1.8333333333333333,,111.0,314.0,314.0,7,314,3-14,3-14,3-14,False,33.0
108954749,100~300,15.0,36.0,36.0,10,34.0,4.25,29.0,115.0,306.0,306.0,3,215,3-06,3-06,2-15,True,21.0
108954821,1~7,2.0,17.0,17.0,5,17.0,4.25,,102.0,202.0,202.0,1,102,2-02,2-02,1-02,False,15.0
108954828,7~50,12.0,45.0,45.0,14,45.0,3.4615384615384617,,112.0,315.0,315.0,2,210,3-15,3-15,2-10,False,33.0
108954972,100~300,19.0,19.0,19.0,2,19.0,19.0,19.0,204.0,204.0,204.0,1,204,2-04,2-04,2-04,True,0.0
