最长停留原始关卡,出现为最长停留人数,平均连续停留天数,最大连续停留天数,关卡标签
112,31,1.7741935483870968,5,1-12
103,17,1.0,1,1-03
104,15,1.3333333333333333,5,1-04
109,15,1.1333333333333333,2,1-09
106,13,1.0,1,1-06
209,12,2.75,6,2-09
110,11,1.5454545454545454,4,1-10
108,11,1.0909090909090908,2,1-08
204,10,4.3,10,2-04
115,10,2.7,5,1-15
107,10,1.0,1,1-07
113,9,2.4444444444444446,5,1-13
114,7,1.7142857142857142,3,1-14
105,7,1.0,1,1-05
309,5,3.4,4,3-09
215,4,5.0,7,2-15
409,4,4.0,7,4-09
111,4,1.5,2,1-11
102,3,1.0,1,1-02
303,2,4.5,5,3-03
210,2,3.5,4,2-10
214,2,3.5,5,2-14
205,2,2.5,3,2-05
405,2,2.5,3,4-05
310,1,6.0,6,3-10
314,1,6.0,6,3-14
511,1,6.0,6,5-11
506,1,5.0,5,5-06
313,1,4.0,4,3-13
414,1,4.0,4,4-14
501,1,4.0,4,5-01
512,1,4.0,4,5-12
201,1,3.0,3,2-01
203,1,3.0,3,2-03
301,1,3.0,3,3-01
305,1,3.0,3,3-05
502,1,3.0,3,5-02
509,1,3.0,3,5-09
601,1,3.0,3,6-01
607,1,3.0,3,6-07
207,1,2.0,2,2-07
514,1,2.0,2,5-14
101,1,1.0,1,1-01
